x,y,z,label,family,region
0.533651987,0.422461133,0.175137888,Manx [glv],3,Eurasia
0.404298791,0.847610058,0.537970685,Denjongkha [sip],2,Eurasia
0.190642476,0.716830787,0.353678895,Nepali_hill [nep-2],3,Eurasia
0.208355824,0.414416936,0.662254126,Kaure [bpp],Trans New Guinea,Papuanesia
0.483200744,0.84176122,0.61802074,Obokwi [afz],Lakes Plains,Papuanesia
0.729882118,0.645690036,0.620191444,Kambran [bed],1,Papuanesia
0.736126412,0.623212164,0.64822265,Yarik [erw],1,Papuanesia
0.695894078,0.603399106,0.620034224,Sekar [skz],1,Papuanesia
0.3082785,0.494480625,0.366978227,Wulguru [xxx-35],6,Australia
0.09009848,0.514660495,0.33869648,Magahi [mag],3,Eurasia
0.541201028,0.869611546,0.476613937,Nanchang [gan],2,Eurasia
0.208568731,0.552041672,0.216907857,Rajasthani [raj],3,Eurasia
0.1240264,0.625094636,0.543801902,Darma [drd],2,Eurasia
0.22954042,0.790336114,0.604312405,Dongwang [khg],2,Eurasia
0.243906357,0.694466687,0.450796938,Hajong [haj],3,Eurasia
0.415409638,0.75630264,0.790852345,Anong [nun],2,Eurasia
0.264099604,0.476006328,0.677010105,Mbaham [bdw],Trans New Guinea,Papuanesia
0.728354327,0.566544551,0.132158851,Pnar [pbv],5,Eurasia
0.242414624,0.415662936,0.671158325,Chin_Falam [cfm],2,Eurasia
0.122322241,0.483223929,0.285194661,Rajbangshi [rkt],3,Eurasia
0.247416982,0.637051913,0.723837046,Galo [adi],2,Eurasia
0.241249011,0.717890524,0.619738618,Dimasa [dis],2,Eurasia
0.682098788,0.791482217,0.348587535,Zhou Chinese [och],2,Eurasia
0.291560555,0.748413546,0.428853632,Apatani [apt],2,Eurasia
0.163216387,0.611613555,0.674522244,Karbi [mjw],2,Eurasia
0.221160761,0.722555661,0.493598352,Mising [mrg],2,Eurasia
0.315449204,0.606929275,0.60570032,Idu Mishmi [clk],2,Eurasia
0.150721207,0.529852241,0.562508232,Miju [mxj],2,Eurasia
0.819671252,0.520594163,0.727498088,Koiwai [kwh],1,Papuanesia
0.537282066,0.812440048,0.606946725,Elopi [dbf],Lakes Plains,Papuanesia
0.56562532,0.809193896,0.667201596,Tause [tad],Lakes Plains,Papuanesia
0.212682308,0.626736468,0.609346162,Aka [hru],2,Eurasia
0.328736975,0.768896443,0.536965872,Bokar [adi-2],2,Eurasia
0.137300059,0.533474742,0.662867739,Raji [rji],2,Eurasia
0.163902295,0.46744111,0.316644669,Darai [dry],3,Eurasia
0.140260516,0.613979392,0.431683514,Dhimal [dhi],2,Eurasia
0.010808934,0.37284256,0.623051478,Bantawa [bap],2,Eurasia
0.134718636,0.690243665,0.423043773,Rabha [rah],2,Eurasia
0.077517775,0.426847415,0.517224326,Raute [rau],2,Eurasia
0.101279963,0.418709859,0.237058076,Majhi [mjz],3,Eurasia
0.042335329,0.499786856,0.586042653,Sunwar [suz],2,Eurasia
0.126831646,0.729414084,0.542519488,Kyirong_Tibetan [bod-3],2,Eurasia
0.060810437,0.501408182,0.521173482,Bankariya [cdm-2],2,Eurasia
0.229256797,0.585176463,0.320084606,Saptariya Tharu [thq],3,Eurasia
0.177598156,0.753895245,0.37098671,Dura [drq],2,Eurasia
0.150937125,0.770594285,0.447889467,Baram [brd],2,Eurasia
0.107332129,0.772922549,0.494095791,Yohlmo [scp],2,Eurasia
0.314439414,0.443679648,0.69076716,Proto-Trans New Guinea [xxx-27],Trans New Guinea,Papuanesia
0.295345762,0.724176147,0.413328639,Malgana [vml],6,Australia
0.904809205,0.342946004,0.616363986,Tamambo [mla],1,Papuanesia
0.226378643,0.505419934,0.663346701,Ku Waru [xxx-14],Trans New Guinea,Papuanesia
0.208058688,0.518857557,0.720457725,Kaugel [ubu],Trans New Guinea,Papuanesia
0.883451541,0.656357295,0.325096439,Jahai [jhi],5,Eurasia
0.504207319,0.392770281,0.007842173,Egyptian_Ancient [xxx-9],Afro-Asiatic,Africa
0.318686925,0.531957882,0.305601717,Old Church Slavonic [chu],3,Eurasia
0.024095525,0.488090902,0.622340502,Wambule [wme],2,Eurasia
0.020319314,0.498566618,0.657545176,Jero [jee],2,Eurasia
0.44886327,0.763455689,0.752180174,Zaiwa [atb],2,Eurasia
0.879101687,0.587002678,0.474251592,Tausug [tsg],1,Papuanesia
0.928374087,0.507217604,0.175166983,Krongo [kgo],Kordofanian,Africa
0.844231088,0.580171842,0.721150759,Fordata [frd],1,Papuanesia
0.379437093,0.528688259,0.790996704,Bawm [bgr],2,Eurasia
0.68812008,0.755577499,0.25123964,Kerinci [kvr],1,Papuanesia
0.854025301,0.635416483,0.491487009,Komodo [knh],1,Papuanesia
0.344661954,0.495406229,0.911671113,Arizona Tewa [tew],Kiowa-Tanoan,North America
0.465815773,0.251251785,0.550335769,Rotokas [roo],West Bougainville,Papuanesia
0.833093116,0.22641687,0.468415475,Tzeltal_Aguacatenango [tzh],Mayan,North America
0.119056685,0.454908645,0.649194317,Tübatulabal [tub],Uto-Aztecan,North America
0.167877244,0.361825138,0.393779772,Keraq [unr],5,Eurasia
0.169091904,0.369346103,0.502365024,Gorum [pcj],5,Eurasia
0.222546303,0.443029759,0.558921653,Juang [jun],5,Eurasia
0.156335586,0.464871626,0.626065303,Gtob [gbj],5,Eurasia
0.148381914,0.502232264,0.574066151,Gtaq [gaq],5,Eurasia
0.534645612,0.426736405,0.011131466,Spanish_spoken [spa-2],3,Eurasia
0.23243436,0.751173409,0.574691734,Wutun [wuh],2,Eurasia
0.264977955,0.70290814,0.546325367,Tiwa [lax],2,Eurasia
0.845611803,0.25466974,0.395944195,CiLuba [lua],4,Africa
0.373055615,0.720861082,0.390698593,Warumungu [wrm],6,Australia
0.349994481,0.740365127,0.422200304,Mbabaram [vmb],6,Australia
0.165066534,0.612984295,0.507274208,Olekha [ole],2,Eurasia
0.264198559,0.694234804,0.446599163,Santa [sce],Mongolic,Eurasia
0.24325175,0.694464627,0.475670483,Baoan [peh],Mongolic,Eurasia
